Term,Category
#P,IT
A* search,IT
ABAC,IT
ABS,IT
absorption,Architecture
abstract syntax tree,IT
abstraction,IT
abstraction refinement,IT
abutment,Architecture
ac,IT
accelerator,Architecture
accept,IT
Accept-Encoding,IT
Accept-Language,IT
acceptable use policy,IT
acceptance criteria,IT
acceptance test,IT
acceptance test-driven development,IT
acceptance testing,IT
Accepted,IT
access control list,IT
access road,Architecture
accountability,IT
accumulator,IT
ACID,IT
acoustic ceiling,Architecture
acoustic door,Architecture
acoustic insulation,Architecture
acrylic sealant,Architecture
actions on objectives,IT
Active Directory,IT
active earth pressure,Architecture
activity diagram,IT
actor–critic,IT
ad-hoc polymorphism,IT
Ada,IT
AdaBoost,IT
adapter pattern,IT
adaptive adversary,IT
address sanitizer,IT
address space,IT
admixture,Architecture
adversary model,IT
adware,IT
aerated block,Architecture
aerial photo,Architecture
affine type,IT
affinity scheduling,IT
affordance,IT
after-action review,IT
AGE,IT
aggregate,Architecture
aggregate analysis,IT
aggregate signature,IT
AH,IT
ahead-of-time compilation,IT
Aho–Corasick,IT
air curing,Architecture
air duct,Architecture
air handling unit,Architecture
air hose,Architecture
air release valve,Architecture
air-entraining agent,Architecture
Airflow,IT
alert fatigue,IT
alert triage,IT
algorithm,IT
alias,IT
alias analysis,IT
aliasing,IT
ALL,IT
allowable bearing capacity,Architecture
alluvium,Architecture
ALTER,IT
aluminum frame,Architecture
AM,IT
Amdahl's law,IT
Amdahl’s law,IT
amortized analysis,IT
analysis,IT
analytics,IT
anchor bolt,Architecture
anchor head,Architecture
anchorage length,Architecture
anchors bolt,Architecture
anchors head,Architecture
angle grinder,Architecture
angle of friction,Architecture
annotative text,Architecture
anomaly detection,IT
ANSI C,IT
Ansible,IT
anti join,IT
anti-aliasing,IT
anti-corrosion coating,Architecture
anti-corruption layer,IT
anti-debugging,IT
anti-entropy,IT
ANY,IT
anycast,IT
anycast DNS,IT
APFS,IT
API,IT
APN,IT
application gateway,IT
application layer,IT
applicative,IT
approximate consensus,IT
approximate query processing,IT
approximation algorithm,IT
approximation ratio,IT
arbiter,IT
arc welding,Architecture
ArchiMate,IT
ArchiMate application view,IT
ArchiMate motivation view,IT
ArchiMate technology view,IT
architect,Architecture
architectural plan,Architecture
architectural style,IT
architecture decision record,IT
architecture description,IT
architecture framework,IT
Argon2,IT
ARIES,IT
