Word,Chinese,Definition,Synonyms,Usage,Reference
aachen,亚琛[德意志联邦共和国西部城市],,,Dia meninggal di Aachen,Downfall 2004
aah,"[军]Armored Artillery Howitzer,装甲榴弹炮;[军]Advanced Attack Helicopter,先进攻击直升机",,,- Aah!,Kingdom of Heaven 2005
aar,"n.阿勒河(位于瑞士中部,亦作Aare)",,,"- Hey, Aar...",Mean Girls 2004
aaron,"n.[圣经]亚伦(摩西之兄,犹太教的第一祭司长)",,,- His name's Aaron Samuels.,Mean Girls 2004
ab,"[军] Airborne,空运 (历法)阿布月(即犹太教历5月)",,,"QA to AB, 83 degrees.",Spider Man 2 2004 Extended
abac,,,,,
abacus,n.算盘,,,smashing Iron Abacus,2046 2004
abandon,"vt.放弃,遗弃;n.放任,狂热",,,- My father will never abandon the city.,Troy 2004
abandoned,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的",,,"I ABANDONED HER, JOHN.",Constantine 2005
abbess,"n.女修道院院长,女庵主持",,,Mother Abbess just quit,The Pacifier 2005-English
abbey,"n.修道院,修道士(总称)",,,Hire the Abbey.,The Constant Gardener 2005-English
abbreviation,"n.缩写,缩写词",,,It's an abbreviation of a word.,Black Hawk Down 2001
abby,n.艾比(Abigail 的昵称)(f.),,,That Dear Abby... She really,My Big Fat Greek Wedding 2002
abc,"n.字母表,基本知识 美国广播公司 澳大利亚广播公司;automatic brightness control,自动亮度调节",,,with ABC-Paramount yesterday.,Ray 2004
abdominal,,,,,
abduction,"n.诱拐,诱导",,,- Abduction?,Mystic River 2003
aberration,n.失常,,,An aberration. All the tests since,Spider Man - Trilogy 2002
abide,"vi.坚持,遵守;vt.忍受,容忍",,,Why did you speak? I can't abide people,The Aviator 2004-English
abigail,n.艾比(Abigail 的昵称)(f.),,,"- Abigail, you promised.",Spider Man 2 2004 Extended
ability,*drunkard n.酒鬼  a person who is habitually drunk.；doubt v./n.懷疑；疑點,,,An airplane with the ability to fly into,The Aviator 2004-English
ablation,"n.消融,切除",,,ablation d'organes...,From Hell 2001
able,"a large number or amount; a great deal. there are a lot of actors in the cast.
lotion n.藥  化妝水 a thick, smooth liquid preparation designed to be
applied to the skin for medicinal or cosmetic purposes.
*lottery n.彩票a means of raising money by selling numbered tickets. the introduction of a national lottery.
*lotus n.蓮；忘憂樹any of a number of large water lilies. (in Greek
mythology) a legendary plant whose fruit induces a",,,Is someone able to give me,Spider Man 2 2004 Extended
abnormal,"adj.反常的,变态的",,,as the bible of abnormal psychiatry.,The Exorcism of Emily Rose
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)",,,- Welcome aboard.,The Aviator 2004-English
abode,"kill (someone) by tying a rope. he was hanged for murder.
hanger n.衣架a shaped piece of wood, plastic, or metal with a hook at the top.
happen v.發生take place; occur.
two hours had passed and still nothing had happened.",,,- Welcome to our humble abode.,How to Lose a Guy in 10 Days 2003
abolish,,,,,
abolition,"n.废除, 废除奴隶制度",,,or preach abolition...,Cold Mountain-English
abominable,"adj.讨厌的,令人憎恶的",,,"- ""And the abominable,",21 Grams-English
abomination,"n.憎恨,厌恶,可憎的事物",,,And as for that abomination...,Lilo and Stitch 2002
aboriginal,,,,,
aborigine,,,,,
aborigines,"n.土著,原居民,(Aborigines)澳大利亚土著居民,(pl.)土生动物(或植物)群",,,Australian Aborigines and the,Spider Man 2 2004 Extended
abort,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]",,,"If we could abort this foetus,",Spider Man 2 2004 Extended
abortion,"n.流产,堕胎,失败,夭折,中止,早产",,,Have you ever had an abortion?,21 Grams-English
abounding,"adj.丰富的,大量的",,,# Sympathy and trust abounding #,The 40 Year Old Virgin 2005
about,discuss v.討論；distress n.悲痛 extreme anxiety,,,about that the better.,Vanity Fair 2004
above,haircut n.理髮,,,"Well, above all,",Vanity Fair 2004
abraham,n.[圣经]亚伯拉罕(相传为希伯来人的始祖),,,You wanted to be Abraham Lincoln.,Almost Famous-English
abroad,"the idea of linking pay to performance has caught on.
理想 的  satisfying one's conception of what is perfect; most suitable. the swimming pool is ideal for a quick dip.
similar in every detail; exactly alike.
four girls in identical green outfits.
each child was tagged with a
number for identification.",,,I'm just back from abroad.,2046 2004
abrupt,"adj.突然的,陡峭的,生硬的",,,I apologise. It is abrupt,The Quiet American 2002
abs,,,,ABS braking,The Machinist 2004
absence,"n.不在,缺席,缺乏,没有",,,"I worry for them, in my absence,",Spider Man 2 2004 Extended
absent,*disposition n.配置,,,YOU'VE BEEN ABSENT SOME TIME.,Constantine 2005
absenteeism,"n.旷课,旷工",,,With your constant absenteeism?,Fight Club 1999
absentminded,,,,,
absinthe,"n.苦艾酒,[植]苦艾",,,taste my first glass of absinthe.,Moulin Rouge! 2001
absolute,"adj.完全的,绝对的",,,It's an absolute pleasure to meet you.,Hitch 2005
absolutely,"adv.完全地,绝对地",,,Absolutely ravenous.,Vanity Fair 2004
absolution,"n.免罪,赦免",,,YOU HAVE TO ASK FOR ABSOLUTION,Constantine 2005
absolve,v.宣布免除,,,I absolve you ofyour sins,Pearl Harbor 2001
absorb,,,,,
